X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
203.57,227.47,5.2,324.4062049345,0,0,115
223.56,210.03,5.2,325.8031836861,0,0,115
241.82,212.76,5.2,340.2936526002,0,0,115
238.4,189.79,5.2,323.8994351647,0,0,115
258.38,192.41,5.2,340.3496327308,0,0,115
265.8,215.36,5.2,359.2848585733,0,0,115
288.64,215.4,5.2,376.5185913073,0,0,115
282.93,193.76,5.2,360.0671638736,0,0,115
305.19,191.08,5.2,376.4419510363,0,0,115
296.06,168.23,5.2,357.7833094207,0,0,115
274.94,169.39,5.2,341.0879882083,0,0,115
254.95,168.23,5.2,324.5872385045,0,0,115
247.53,148.01,5.2,308.600228451,0,0,115
240.11,129.04,5.2,293.8710154132,0,0,115
237.26,110.27,5.2,283.7390006679,0,0,115
215.56,117.1,5.2,268.7648853552,0,0,115
220.13,135.9,5.2,281.0374830872,0,0,115
200.72,141.27,5.2,268.8898869426,0,0,115
196.15,123.69,5.2,256.5737293645,0,0,115
177.88,125.06,5.2,243.592565568,0,0,115
180.74,143.82,5.2,255.7482746765,0,0,115
203.57,160.08,5.2,281.2870265405,0,0,115
205.29,180.44,5.2,294.5481585412,0,0,115
224.7,157.28,5.2,295.437181817,0,0,115
268.66,145.3,5.2,324.5709869967,0,0,115
262.95,123.69,5.2,310.6412055732,0,0,115
215.56,84.68,5.2,256.3061762814,0,0,115
196.15,90.25,5.2,242.2311396167,0,0,115
194.44,71.42,5.2,234.443532647,0,0,115
150.48,54.99,5.2,194.2271106205,0,0,115
246.39,237.05,5.2,359.1055201469,0,0,115
268.66,238.29,5.2,375.521450386,0,0,115
296.06,240.93,5.2,397.1836206341,0,0,115
303.48,267.81,5.2,419.3785241283,0,0,115
309.76,294.81,5.2,441.4977165286,0,0,115
321.75,319.01,5.2,466.2043356727,0,0,115
329.74,344.44,5.2,489.3091264221,0,0,115
302.34,337.99,5.2,466.5862789453,0,0,115
308.62,363.48,5.2,489.3056864579,0,0,115
281.22,355.38,5.2,466.2999815569,0,0,115
259.52,371.42,5.2,466.2182823528,0,0,115
259.52,398.59,5.2,488.1399988733,0,0,115
235.54,386.28,5.2,465.5613493408,0,0,115
228.12,363.39,5.2,442.8849359597,0,0,115
226.41,336.54,5.2,420.2103041335,0,0,115
199.01,325.67,5.2,397.1422528515,0,0,115
197.87,352.66,5.2,419.0198712472,0,0,115
165.9,367.53,5.2,417.9200293118,0,0,115
159.62,394.3,5.2,439.3257042332,0,0,115
135.64,381.03,5.2,419.0920072013,0,0,115
141.35,353.92,5.2,396.6046254143,0,0,115
163.04,422.57,5.2,466.0509483951,0,0,115
187.02,413.2,5.2,466.654862184,0,0,115
183.59,438.89,5.2,488.2476422882,0,0,115
209.85,428.16,5.2,489.2995484363,0,0,115
212.71,399.82,5.2,466.0017344388,0,0,115
235.54,413.34,5.2,488.2469530883,0,0,115
238.4,446.89,5.2,518.2675680573,0,0,115
235.54,475.24,5.2,541.6532001198,0,0,115
209.85,460.47,5.2,517.808539327,0,0,115
205.29,490.1,5.2,542.5845870461,0,0,115
180.74,472.55,5.2,517.7127486358,0,0,115
176.17,502.12,5.2,543.338203424,0,0,115
152.19,484.57,5.2,519.6401841659,0,0,115
144.77,510.12,5.2,541.5134414768,0,0,115
121.94,491.38,5.2,518.0537694101,0,0,115
112.8,518.28,5.2,541.6585994886,0,0,115
91.68,499.5,5.2,519.5782062404,0,0,115
80.83,526.44,5.2,543.8093438881,0,0,115
62.56,503.43,5.2,519.0487053254,0,0,115
50.58,528.97,5.2,542.6081802738,0,0,115
30.59,506.22,5.2,518.8935117151,0,0,115
15.75,531.71,5.2,543.1570920093,0,0,115
0.34,506.22,5.2,517.9911620868,0,0,115
-16.22,531.65,5.2,543.1121899755,0,0,115
-31.63,506.13,5.2,518.8680697441,0,0,115
-48.19,529.02,5.2,542.4393758753,0,0,115
-60.18,503.41,5.2,518.7478197545,0,0,115
-80.16,524.97,5.2,542.2869779923,0,0,115
-92.15,498.11,5.2,518.3254138087,0,0,115
-113.27,519.55,5.2,542.9717629859,0,0,115
-122.41,491.38,5.2,518.1645998136,0,0,115
-145.24,511.39,5.2,542.8355457226,0,0,115
-152.66,483.19,5.2,518.4917469931,0,0,115
-180.07,473.84,5.2,518.6574886185,0,0,115
-204.61,490.05,5.2,542.2824859794,0,0,115
-210.32,461.69,5.2,519.0839994644,0,0,115
-234.87,476.5,5.2,542.4686229636,0,0,115
-237.73,446.91,5.2,517.9769695653,0,0,115
-263.42,461.87,5.2,542.9272817791,0,0,115
-265.13,432.23,5.2,518.8185904533,0,0,115
-290.82,442.88,5.2,541.0868754646,0,0,115
-290.82,417.29,5.2,520.3491678671,0,0,115
-321.08,460.42,5.2,571.9571511923,0,0,115
-292.53,477.86,5.2,570.9466003927,0,0,115
-293.67,511.44,5.2,599.8908088144,0,0,115
-324.5,495.23,5.2,602.1702773303,0,0,115
-353.05,512.81,5.2,632.1981007564,0,0,115
-321.08,534.44,5.2,633.0675477388,0,0,115
-351.33,556.06,5.2,666.851956959,0,0,115
-316.51,576.14,5.2,666.4622417662,0,0,115
-287.96,551.85,5.2,632.0723250547,0,0,115
-260.56,530.45,5.2,601.1029496684,0,0,115
-262.27,495.24,5.2,571.0553830409,0,0,115
-230.3,510.25,5.2,570.4815443991,0,0,115
-200.05,523.56,5.2,571.131435048,0,0,115
-173.79,503.38,5.2,543.737462844,0,0,115
-168.08,535.73,5.2,572.1132399272,0,0,115
-192.05,557.26,5.2,599.5648005846,0,0,115
-158.94,568.03,5.2,599.9800367512,0,0,115
-136.11,545.13,5.2,572.4933964685,0,0,115
-102.99,550.55,5.2,570.7611432114,0,0,115
-69.31,555.97,5.2,570.9313067261,0,0,115
-89.29,584.25,5.2,601.1462439374,0,0,115
-54.47,588.21,5.2,600.8444266197,0,0,115
-32.77,558.68,5.2,570.3097888867,0,0,115
0.34,558.59,5.2,569.2793195787,0,0,115
35.16,558.66,5.2,570.4325211627,0,0,115
68.84,556.06,5.2,570.9620908607,0,0,115
101.96,550.67,5.2,570.6919751495,0,0,115
135.64,545.13,5.2,572.3818362771,0,0,115
126.5,576.14,5.2,599.9963246554,0,0,115
159.62,568.03,5.2,600.160532941,0,0,115
167.04,534.38,5.2,570.5439387111,0,0,115
200.72,523.6,5.2,571.4031137472,0,0,115
196.15,557.26,5.2,600.8906473727,0,0,115
229.26,545.14,5.2,601.4929818377,0,0,115
261.23,530.49,5.2,601.4289592296,0,0,115
261.23,496.61,5.2,571.7679992794,0,0,115
233.83,508.92,5.2,570.7294238954,0,0,115
262.95,463.12,5.2,543.7636222661,0,0,115
264.66,432.11,5.2,518.4785508582,0,0,115
291.49,444.33,5.2,542.6339548904,0,0,115
290.35,415.98,5.2,519.0361479704,0,0,115
314.33,397.2,5.2,518.2926093434,0,0,115
318.89,426.82,5.2,543.9873017819,0,0,115
348.01,440.15,5.2,571.7508396146,0,0,115
353.72,472.63,5.2,600.4606525827,0,0,115
321.75,460.43,5.2,572.3415827982,0,0,115
293.2,477.89,5.2,571.3152650682,0,0,115
293.2,511.35,5.2,599.5841079448,0,0,115
325.17,493.96,5.2,601.488196476,0,0,115
353.72,512.86,5.2,632.6130397012,0,0,115
384.55,491.43,5.2,633.5914988382,0,0,115
381.12,450.94,5.2,600.5458999943,0,0,115
374.84,418.57,5.2,572.5049436468,0,0,115
344.58,406.61,5.2,544.1719475497,0,0,115
338.88,378.39,5.2,519.6871044196,0,0,115
369.13,383.61,5.2,543.5711811713,0,0,115
362.85,355.34,5.2,519.5985739973,0,0,115
350.86,324.33,5.2,490.2537388945,0,0,115
341.73,297.43,5.2,466.1545213768,0,0,115
334.31,270.42,5.2,443.7862013402,0,0,115
325.17,242.3,5.2,420.1200529611,0,0,115
316.04,215.4,5.2,397.9126557424,0,0,115
274.94,265.14,5.2,397.4257958412,0,0,115
249.25,261.08,5.2,377.2855270216,0,0,115
250.96,288.04,5.2,397.4971738264,0,0,115
224.7,281.24,5.2,376.3536469864,0,0,115
224.7,306.95,5.2,395.9348841666,0,0,115
253.81,316.32,5.2,420.1593727385,0,0,115
277.79,293.5,5.2,418.7667299345,0,0,115
