"X","Y","Z","focal length","aim x","aim y","aim z"
"m","m","m","m","m","m","m"
-145.24,179.07,5.2,230.624722222055,0,0,107.7
-165.22,181.84,5.2,245.744733412539,0,0,107.7
-163.51,163.06,5.2,230.97862173803,0,0,107.7
-184.63,161.6,5.2,245.417678458582,0,0,107.7
-180.07,143.84,5.2,230.525899846416,0,0,107.7
-178.35,125.01,5.2,217.860649498711,0,0,107.7
-196.62,123.74,5.2,232.374809306,0,0,107.7
-202.9,141.43,5.2,247.38208281927,0,0,107.7
-205.76,158.75,5.2,259.934184169762,0,0,107.7
-224.02,156.07,5.2,273.074797994982,0,0,107.7
-222.88,135.9,5.2,261.096427398002,0,0,107.7
-216.6,117.16,5.2,246.310912466338,0,0,107.7
-236.58,110.22,5.2,261.047093069431,0,0,107.7
-242.29,128.91,5.2,274.498218937756,0,0,107.7
-248.57,148.06,5.2,289.371471468768,0,0,107.7
-269.7,143.96,5.2,305.760709706136,0,0,107.7
-263.42,123.74,5.2,291.08198844999,0,0,107.7
-255.99,168.28,5.2,306.392034002191,0,0,107.7
-275.4,169.5,5.2,323.423020207282,0,0,107.7
-298.24,168.23,5.2,342.455063475487,0,0,107.7
-306.23,191.08,5.2,360.992270415864,0,0,107.7
-281.68,192.41,5.2,341.163114213714,0,0,107.7
-260.56,192.6,5.2,324.057577600031,0,0,107.7
-241.15,188.43,5.2,306.082059912044,0,0,107.7
-242.29,212.76,5.2,322.48767681882,0,0,107.7
-224.02,210.03,5.2,307.123104471155,0,0,107.7
-224.02,232.83,5.2,323.14363571019,0,0,107.7
-204.61,227.51,5.2,306.027927156983,0,0,107.7
-184.63,203.09,5.2,274.51926161929,0,0,107.7
-165.22,201.9,5.2,260.937345736481,0,0,107.7
-158.94,220.67,5.2,272.000390624719,0,0,107.7
-186.34,181.83,5.2,260.406959392409,0,0,107.7
-205.76,180.47,5.2,273.740092971417,0,0,107.7
-158.94,133.3,5.2,207.503864060407,0,0,107.7
-160.08,114.4,5.2,196.824811444086,0,0,107.7
-140.67,118.51,5.2,184.010078528324,0,0,107.7
-122.41,122.43,5.2,173.206099777115,0,0,107.7
-117.84,139.96,5.2,183.035808518443,0,0,107.7
-139.53,139.91,5.2,197.662512884968,0,0,107.7
-142.39,99.41,5.2,173.736294999059,0,0,107.7
-158.94,90.25,5.2,182.849736395763,0,0,107.7
-157.8,74.04,5.2,174.384063492052,0,0,107.7
-172.64,61.88,5.2,183.468645822658,0,0,107.7
-151.52,54.97,5.2,161.267018636794,0,0,107.7
-137.82,64.44,5.2,152.229780266543,0,0,107.7
-139.53,80.48,5.2,161.160452034611,0,0,107.7
-122.41,84.65,5.2,148.919006846003,0,0,107.7
-117.84,69.94,5.2,137.130992849902,0,0,107.7
-98.43,75.21,5.2,123.984067524824,0,0,107.7
-95,53.63,5.2,109.216376519275,0,0,107.7
-92.15,37.56,5.2,99.6464555315441,0,0,107.7
-75.59,43.03,5.2,87.1347749179396,0,0,107.7
-76.73,59.2,5.2,97.0524234627863,0,0,107.7
-60.18,60.55,5.2,85.5276265308467,0,0,107.7
-76.73,77.99,5.2,109.53069432812,0,0,107.7
